"Id","dept_rank","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"620",NA,"Medical",15031637,115860,"1985",1
"621",11,"Biology",24489851,89577,"1985",1
"622",52,"Medical",457508,1714,"2000",1
"623",NA,"Biology",1139322,32237,"1990",1
"624",NA,"Biology",130419,8378,"1985",1
"625",NA,"Medical",6605923,32208,"1965",1
"626",19,"Medical",NA,16031,"1975",1
"627",16,"Biology",1307744,26808,"1970",1
"628",NA,"Biology",281690,41171,"1970",1
"629",NA,"Biology",NA,30108,"1990",1
"630",NA,"Biology",546068,33182,"1970",1
"631",NA,"Biology",18748226,88903,"1980",1
"632",NA,"Biology",15848223,56120,"1970",1
"633",9,"Medical",NA,1782,"2000",1
"634",NA,"Medical",NA,17778,"1985",1
"635",NA,"Biology",NA,579,"2005",1
"636",190,"Biology",NA,4849,"2005",1
"637",13,"Biology",NA,5762,"1975",1
"638",2,"Medical",8284919,20197,"1970",1
"639",NA,"Biology",NA,15139,"1985",1
"640",NA,"Medical",NA,12780,"1975",1
"641",13,"Medical",NA,29928,"1980",1
"642",NA,"Biology",NA,60163,"1965",1
"643",NA,"Medical",1054043,19304,"1980",1
"644",NA,"Biology",23779973,14668,"1990",1
"645",1,"Medical",3511326,44866,"1975",1
"646",3,"Medical",NA,5480,"1980",1
"647",196,"Biology",112082823,14833,"1965",1
"648",2,"Medical",NA,7328,"1975",1
"649",NA,"Medical",3606853,99208,"1980",1
"650",13,"Biology",37650,40634,"1970",1
"651",30,"Medical",NA,2234,"1990",1
"652",NA,"Biology",NA,8583,"1975",1
"653",22,"Biology",4076379,4950,"1990",1
"654",49,"Biology",NA,14372,"1975",1
"655",NA,"Medical",NA,14751,"1980",1
"656",NA,"Biology",4244598,2760,"1990",0
"657",48,"Medical",NA,9505,"1980",1
"658",NA,"Biology",18878881,29043,"1990",1
"659",NA,"Biology",52933324,63866,"1980",1
"660",NA,"Biology",26263117,20180,"1980",1
"661",52,"Medical",NA,2412,"2005",0
"662",NA,"Medical",NA,636,"2005",0
"663",1,"Technology",16706935,18404,"1980",1
"664",NA,"Biology",NA,2402,"2000",1
"665",9,"Medical",9509491,17448,"1970",1
"666",NA,"Biology",77150588,16266,"1985",0
"667",93,"Biology",NA,53062,"1970",1
"668",19,"Biology",836782,32168,"1965",1
"669",48,"Biology",3428620,9464,"1980",0
"670",NA,"Biology",242830,20759,"1975",1
"671",NA,"Biology",NA,45500,"1965",1
"672",NA,"Medical",1135096,3713,"1980",1
"673",52,"Medical",NA,30747,"1970",1
"674",NA,"Medical",NA,2001,"1990",1
"675",65,"Medical",NA,30195,"1975",1
"676",NA,"Biology",NA,24747,"1970",1
"677",38,"Biology",17679982,42255,"1965",1
"678",NA,"Biology",129329743,101809,"1985",1
"679",13,"Medical",5056541,2444,"1990",1
"680",7,"Biology",29942289,18066,"1985",1
"681",NA,"Medical",NA,19221,"1965",1
"682",312,"Biology",NA,3595,"1990",1
"683",202,"Medical",6052915,4832,"1970",1
"684",30,"Medical",NA,11007,"1980",1
"685",45,"Biology",44421022,17525,"1985",1
"686",67,"Medical",NA,11349,"1975",1
"687",NA,"Biology",15970482,12208,"1985",1
"688",NA,"Medical",NA,3044,"1970",1
"689",NA,"Medical",NA,22481,"1980",1
"690",12,"Medical",NA,10302,"1975",1
"691",NA,"Medical",3196957,7813,"1990",1
"692",3,"Technology",982784,5096,"1995",1
"693",2,"Medical",NA,3155,"2000",1
"694",NA,"Biology",1535315,21011,"1965",1
"695",84,"Biology",9210714,51970,"1975",1
"696",96,"Biology",NA,6609,"1980",1
"697",13,"Medical",NA,6989,"1980",1
"698",5,"Medical",NA,712,"2005",0
"699",1,"Biology",NA,690,"2005",1
"700",39,"Biology",NA,1102,"2005",1
"701",41,"Biology",2212166,14203,"1985",1
"702",NA,"Biology",NA,13472,"1985",1
"703",NA,"Medical",NA,6885,"1975",1
"704",18,"Biology",582824,3443,"1990",0
"705",33,"Biology",NA,12146,"1970",1
"706",3,"Medical",NA,8282,"1985",1
"707",190,"Biology",NA,7482,"1975",1
"708",3,"Medical",NA,52569,"1975",1
"709",NA,"Technology",628896,13303,"1990",1
"710",NA,"Biology",NA,23588,"1970",1
"711",NA,"Biology",2501887,21787,"1965",1
"712",NA,"Biology",10033,4525,"2000",1
"713",NA,"Biology",NA,11971,"1980",1
"714",NA,"Medical",NA,3310,"1995",1
"715",NA,"Medical",193801,46693,"1970",1
"716",NA,"Biology",NA,7322,"1985",1
"717",NA,"Medical",NA,14845,"1990",1
"718",36,"Medical",NA,1552,"1985",1
"719",NA,"Biology",222716,20601,"1985",1
"720",NA,"Medical",20753995,4676,"1990",1
"721",85,"Biology",818991,6739,"1985",1
"722",NA,"Medical",NA,4420,"1975",1
"723",8,"Medical",NA,61213,"1975",1
"724",18,"Biology",24439865,21025,"1990",1
"725",76,"Biology",NA,9248,"1985",1
"726",130,"Biology",30754154,2219,"1980",1
"727",NA,"Medical",NA,984,"2010",1
"728",NA,"Biology",7035982,13538,"1970",1
"729",NA,"Medical",NA,4658,"1985",1
"730",NA,"Medical",2987724,8678,"1985",1
"731",2,"Medical",2485662,3182,"1995",1
"732",78,"Medical",NA,3325,"1995",1
"733",NA,"Biology",1832094,6068,"1970",1
"734",3,"Biology",758061,6429,"2000",1
"735",NA,"Biology",NA,11373,"1990",1
"736",65,"Medical",763037,2285,"1995",1
"737",NA,"Medical",NA,4546,"1975",1
"738",75,"Medical",NA,5090,"2000",1
"739",NA,"Biology",1743236,16643,"1985",1
"740",33,"Biology",NA,16093,"1980",1
"741",NA,"Medical",NA,6977,"1980",1
"742",1,"Biology",NA,1174,"1965",0
"743",NA,"Medical",NA,2880,"2000",1
"744",13,"Medical",NA,22428,"1985",1
"745",178,"Biology",NA,2999,"1995",1
"746",50,"Medical",1673478,4626,"2000",1
"747",13,"Biology",NA,6475,"1975",1
"748",NA,"Biology",NA,3368,"1995",1
"749",NA,"Technology",NA,2950,"1985",1
"750",16,"Biology",NA,2116,"1995",1
"751",69,"Technology",2318216,1140,"1990",0
"752",38,"Biology",NA,5785,"1965",1
"753",9,"Biology",463011,36728,"1965",1
"754",163,"Biology",NA,16763,"1970",1
"755",NA,"Biology",NA,2945,"1990",1
"756",NA,"Biology",32505728,64253,"1970",1
"757",NA,"Medical",3127442,1864,"1980",0
"758",NA,"Medical",NA,13601,"1980",1
"759",27,"Biology",10372851,15588,"1980",1
"760",98,"Biology",1566234,9196,"1985",0
"761",39,"Biology",226595,6591,"1995",1
"762",NA,"Medical",60379,1373,"2010",0
"763",26,"Biology",153209,2226,"2005",0
"764",NA,"Biology",2709433,4886,"2000",1
"765",3,"Biology",18561435,35245,"1975",1
"766",75,"Biology",NA,1273,"2000",1
"767",30,"Medical",NA,6631,"1985",1
"768",76,"Biology",NA,4535,"1990",1
"769",55,"Technology",NA,585,"2005",1
"770",NA,"Biology",NA,572,"2010",1
"771",312,"Biology",NA,315,"2005",0
"772",3,"Medical",NA,1061,"2005",1
"773",8,"Medical",100973,1467,"2010",1
"774",10,"Technology",NA,487,"2005",1
"775",148,"Biology",1090687,1022,"2010",1
"776",NA,"Biology",NA,523,"2010",1
"777",27,"Biology",335213,690,"2005",0
"778",NA,"Medical",945399,1479,"2000",1
"779",136,"Biology",NA,650,"2010",1
"780",8,"Biology",NA,596,"2005",1
"781",NA,"Medical",934346,1089,"2010",1
"782",13,"Medical",NA,876,"2005",1
"783",90,"Biology",NA,298,"2010",1
"784",65,"Medical",NA,920,"2010",1
"785",NA,"Medical",NA,1639,"2010",1
"786",73,"Biology",8798651,2845,"1995",1
"787",NA,"Technology",NA,2072,"2005",1
"788",3,"Technology",2740247,2571,"2010",1
"789",1,"Biology",NA,277,"2010",1
"790",67,"Biology",NA,254,"2010",1
"791",3,"Medical",NA,748,"2010",1
"792",62,"Biology",NA,248,"2000",1
"793",57,"Biology",NA,4379,"1975",1
"794",NA,"Biology",NA,19872,"1965",1
"795",NA,"Biology",24502297,9013,"1990",1
"796",NA,"Medical",NA,1011,"2005",1
"797",NA,"Technology",NA,394,"2010",1
"798",NA,"Biology",NA,1428,"2005",1
"799",NA,"Biology",2306279,1419,"2010",1
"800",52,"Medical",NA,375,"2000",1
"801",169,"Biology",NA,6161,"1985",1
"802",26,"Biology",8057683,79197,"1980",1
"803",16,"Biology",NA,520,"2005",1
"804",49,"Biology",NA,2235,"1980",1
"805",NA,"Biology",1185109,9914,"2000",1
"806",NA,"Biology",NA,791,"2005",0
"807",NA,"Medical",NA,370,"2010",1
"808",13,"Biology",399032,2204,"2000",1
"809",NA,"Medical",NA,726,"2005",1
"810",NA,"Medical",NA,41850,"1960",1
"811",99,"Biology",NA,28225,"1965",1
"812",NA,"Biology",2063308,52774,"1970",1
"813",123,"Biology",17384977,14661,"1990",1
"814",19,"Medical",31500000,46865,"1985",1
"815",NA,"Medical",NA,118353,"1980",1
"816",NA,"Medical",NA,11582,"1970",1
"817",NA,"Biology",6737288,22198,"1985",1
"818",45,"Technology",11900154,14421,"1975",1
"819",6,"Biology",40626914,108013,"1980",1
"820",67,"Biology",NA,42423,"1965",1
"821",NA,"Medical",13890601,31571,"1980",1
"822",NA,"Biology",NA,24473,"1970",1
"823",196,"Biology",NA,93186,"1975",1
"824",NA,"Medical",NA,19332,"1995",1
"825",190,"Biology",NA,704,"2010",1
"826",12,"Medical",3367196,2541,"1990",1
"827",NA,"Biology",67194689,27511,"1975",1
"828",16,"Biology",NA,3375,"2000",1
"829",65,"Biology",NA,493,"2000",1
"830",NA,"Biology",36171435,67635,"1985",1
"831",141,"Technology",680754,790,"1995",1
"832",57,"Biology",11227169,4493,"1995",0
"833",NA,"Medical",NA,16461,"1980",1
"834",NA,"Medical",4806294,47075,"1985",1
"835",131,"Biology",4837120,18788,"1990",0
"836",333,"Biology",31375264,4891,"1970",1
"837",NA,"Medical",792310,621,"2010",1
"838",84,"Medical",NA,925,"2010",0
"839",NA,"Medical",802566,3447,"1995",1
"840",NA,"Biology",NA,13639,"1975",1
"841",169,"Biology",NA,530,"2005",0
"842",10,"Biology",13779798,271,"2005",0
"843",76,"Biology",NA,487,"1995",0
"844",NA,"Biology",NA,1865,"2000",1
"845",33,"Biology",74708,4693,"1980",1
"846",NA,"Medical",NA,264,"2010",1
"847",19,"Medical",9626158,583,"2010",0
"848",8,"Medical",NA,592,"2010",1
"849",65,"Medical",NA,382,"2010",1
"850",24,"Medical",NA,7924,"1985",1
"851",26,"Biology",18006,661,"2010",0
"852",13,"Biology",NA,1031,"2010",1
"853",52,"Medical",NA,365,"2010",1
"854",NA,"Biology",NA,1331,"2010",1
"855",NA,"Biology",NA,371,"2010",1
"856",NA,"Medical",NA,1000,"2010",1
"857",9,"Biology",NA,1431,"2010",1
"858",26,"Biology",13384721,1740,"1990",1
"859",13,"Medical",NA,1510,"2010",1
"860",NA,"Medical",NA,926,"2005",1
"861",NA,"Biology",NA,1279,"2010",1
"862",136,"Biology",578232,718,"2010",1
"863",23,"Biology",NA,1602,"2010",1
"864",40,"Biology",NA,646,"2010",1
"865",NA,"Biology",NA,509,"2010",1
"866",5,"Medical",NA,3558,"2010",1
"867",13,"Biology",NA,794,"2010",1
"868",13,"Medical",NA,497,"2010",1
"869",NA,"Medical",NA,612,"2010",1
"870",1,"Medical",NA,612,"2005",1
"871",30,"Medical",NA,659,"2010",1
"872",1,"Biology",NA,903,"2005",1
"873",3,"Biology",639973,1197,"2005",0
"874",90,"Medical",NA,449,"2010",1
"875",337,"Biology",45978133,616,"2005",1
"876",NA,"Medical",NA,1162,"2010",1
"877",NA,"Biology",1348357,1453,"2010",1
"878",16,"Biology",NA,1957,"1990",1
"879",NA,"Biology",NA,1057,"2010",1
"880",13,"Biology",4444131,261,"2010",1
"881",9,"Biology",NA,304,"2000",0
"882",NA,"Medical",NA,415,"2005",1
"883",273,"Biology",NA,174,"2010",1
"884",38,"Biology",NA,300,"2010",1
"885",NA,"Medical",NA,94,"2010",0
"886",98,"Biology",NA,1481,"2000",1
"887",NA,"Biology",NA,770,"2000",1
"888",84,"Medical",NA,686,"2010",1
"889",23,"Biology",NA,841,"2010",0
"890",NA,"Medical",NA,676,"2010",0
"891",43,"Medical",177260,598,"2005",0
"892",NA,"Biology",1655349,4049,"1995",1
"893",2,"Medical",1297061,1331,"2005",1
"894",6,"Biology",NA,578,"2010",1
"895",8,"Medical",NA,437,"2005",1
"896",169,"Biology",222484,1394,"2000",1
"897",NA,"Biology",330523,2830,"2000",1
"898",36,"Medical",NA,159,"2010",1
"899",NA,"Medical",6249600,1393,"2000",1
"900",99,"Biology",NA,1829,"2000",1
"901",13,"Biology",NA,737,"2005",1
"902",11,"Biology",NA,152,"2010",0
"903",16,"Biology",NA,5719,"1995",1
"904",78,"Medical",NA,292,"2010",1
"905",13,"Medical",NA,697,"2005",1
"906",NA,"Biology",NA,1418,"2005",1
"907",NA,"Medical",NA,8090,"1995",1
"908",16,"Medical",NA,1801,"2010",1
"909",NA,"Biology",NA,643,"2010",1
"910",131,"Biology",NA,2994,"2005",1
"911",3,"Medical",NA,720,"2005",1
"912",2,"Medical",701519,3030,"1970",1
"913",148,"Biology",12008,972,"2005",1
"914",NA,"Biology",NA,467,"1990",0
"915",96,"Biology",NA,479,"2005",1
"916",366,"Biology",182543,541,"1995",0
"917",NA,"Biology",NA,2599,"2005",1
"918",NA,"Biology",NA,419,"2010",1
"919",9,"Medical",NA,1024,"2000",1
"920",NA,"Biology",839901,2310,"1990",1
"921",84,"Biology",NA,339,"2010",1
"922",13,"Medical",NA,410,"2005",1
"923",NA,"Biology",NA,1625,"2010",1
"924",38,"Medical",NA,697,"2010",1
"925",NA,"Medical",47442,267,"2010",1
"926",175,"Biology",NA,178,"2005",1
"927",NA,"Medical",NA,272,"2010",1
"928",13,"Medical",97995,198,"2010",1
"929",27,"Technology",NA,1500,"2010",1
"930",69,"Technology",NA,729,"2010",1
"931",NA,"Biology",NA,402,"2010",0
"932",NA,"Biology",NA,346,"2010",1
"933",NA,"Biology",NA,280,"2010",1
"934",NA,"Biology",150019,662,"2010",1
"935",48,"Biology",NA,814,"2000",0
"936",8,"Medical",NA,505,"2010",1
"937",13,"Biology",2152,2107,"2000",1
"938",63,"Technology",NA,547,"1995",1
"939",NA,"Medical",NA,992,"2005",1
"940",72,"Medical",NA,1719,"2010",1
"941",24,"Medical",NA,4622,"2005",1
"942",13,"Medical",NA,288,"2010",1
"943",78,"Medical",NA,4718,"1990",1
"944",NA,"Biology",5280592,14827,"1995",1
"945",NA,"Medical",NA,316,"2010",1
"946",3,"Biology",NA,1334,"2010",1
"947",23,"Medical",411297,1484,"2000",1
"948",NA,"Biology",NA,783,"2010",0
"949",NA,"Biology",NA,451,"2010",1
"950",43,"Medical",NA,10116,"1995",1
"951",NA,"Biology",NA,763,"2005",1
"952",36,"Biology",NA,186,"2010",0
"953",NA,"Medical",NA,1699,"2010",1
"954",NA,"Biology",NA,725,"2010",0
"955",13,"Biology",NA,603,"2010",1
"956",NA,"Biology",NA,1188,"2010",1
"957",NA,"Medical",NA,414,"2005",0
"958",NA,"Biology",NA,1183,"2000",1
"959",16,"Biology",NA,2342,"2000",1
"960",3,"Medical",2497696,994,"2005",1
"961",11,"Biology",NA,1292,"2010",1
"962",NA,"Technology",NA,1044,"2010",1
"963",24,"Biology",NA,470,"2010",1
"964",98,"Biology",10732,240,"2010",1
"965",38,"Medical",NA,522,"2005",1
"966",NA,"Biology",NA,656,"2005",1
"967",19,"Medical",4929331,1404,"2000",0
"968",57,"Biology",NA,1248,"1995",1
"969",27,"Medical",NA,1253,"2005",1
"970",19,"Medical",3767450,295,"2010",1
"971",NA,"Biology",NA,1173,"2010",0
"972",8,"Biology",NA,363,"2010",1
"973",NA,"Biology",NA,779,"2010",1
"974",NA,"Biology",NA,504,"2010",0
"975",23,"Medical",NA,587,"2010",1
"976",159,"Biology",NA,779,"2005",1
"977",NA,"Biology",NA,273,"2010",1
"978",3,"Medical",NA,372,"2010",1
"979",NA,"Medical",1181891,264,"2010",0
"980",106,"Biology",NA,667,"2010",1
"981",NA,"Biology",NA,798,"2010",0
"982",57,"Biology",NA,701,"2010",1
"983",142,"Biology",NA,181,"2010",1
"984",36,"Biology",679247,961,"2010",1
"985",NA,"Biology",NA,640,"2005",1
"986",62,"Biology",NA,4805,"1995",1
"987",NA,"Biology",NA,540,"2010",1
"988",73,"Biology",NA,1134,"2005",1
"989",11,"Biology",35097,3158,"2000",1
"990",1,"Biology",NA,663,"2010",1
"991",NA,"Medical",NA,426,"2010",0
"992",190,"Biology",NA,8255,"1980",1
"993",NA,"Biology",NA,6773,"1975",1
"994",12,"Medical",NA,7303,"1985",1
"995",17,"Biology",816868,3856,"2000",1
"996",NA,"Medical",NA,366,"2010",1
"997",16,"Medical",NA,187,"2010",1
"998",NA,"Biology",73404,5927,"1995",1
"999",45,"Biology",NA,1112,"2010",1
"1000",16,"Medical",NA,1702,"2000",1
"1001",10,"Technology",NA,65,"2005",1
"1002",NA,"Biology",1286907,2618,"2000",1
"1003",12,"Medical",NA,3380,"1995",1
"1004",26,"Medical",NA,783,"2010",1
"1005",NA,"Medical",NA,895,"2010",1
"1006",NA,"Medical",NA,5101,"1995",1
"1007",26,"Biology",1344621,3895,"1990",0
"1008",22,"Biology",9294320,4741,"1990",1
"1009",50,"Medical",NA,964,"2000",1
"1010",1,"Biology",NA,458,"2010",1
"1011",2,"Medical",NA,227,"2010",1
"1012",7,"Biology",NA,571,"2000",1
"1013",NA,"Biology",2422068,6486,"1995",1
"1014",8,"Biology",NA,479,"2010",1
"1015",38,"Medical",NA,220,"2010",1
"1016",NA,"Technology",NA,454,"2010",1
"1017",NA,"Biology",5640,17449,"1970",0
"1018",NA,"Biology",NA,1066,"2005",1
"1019",NA,"Technology",NA,211,"2010",1
"1020",13,"Biology",717745,853,"2010",0
"1021",123,"Biology",9062368,8291,"1985",1
"1022",7,"Biology",NA,509,"2010",1
"1023",19,"Medical",NA,1147,"2010",0
"1024",2,"Medical",NA,638,"2010",1
"1025",65,"Medical",NA,490,"2010",1
"1026",73,"Biology",NA,12556,"1980",1
"1027",NA,"Biology",NA,959,"2010",1
"1028",NA,"Biology",NA,551,"2010",1
"1029",NA,"Biology",5363700,2149,"1990",1
"1030",27,"Medical",NA,340,"1980",1
"1031",NA,"Medical",NA,606,"2010",1
"1032",NA,"Biology",NA,227,"2010",0
"1033",NA,"Biology",NA,6131,"1985",1
"1034",1,"Medical",NA,995,"2010",1
"1035",9,"Biology",176243,1641,"2010",1
"1036",NA,"Medical",NA,259,"2005",0
"1037",26,"Biology",NA,277,"2010",0
"1038",9,"Technology",9362904,2940,"2005",1
"1039",96,"Biology",65167021,381,"2005",1
"1040",13,"Medical",NA,962,"2005",0
"1041",112,"Biology",8138874,7659,"1990",1
"1042",NA,"Biology",NA,544,"2010",1
"1043",7,"Biology",NA,4626,"1990",1
"1044",26,"Biology",NA,610,"2010",1
"1045",NA,"Biology",NA,998,"2000",1
"1046",23,"Medical",766797,11938,"1975",1
"1047",16,"Biology",NA,157,"2005",1
"1048",36,"Medical",NA,793,"2010",1
"1049",NA,"Biology",40605016,9708,"1985",1
"1050",78,"Medical",NA,360,"2010",1
"1051",NA,"Biology",NA,3179,"2000",1
"1052",NA,"Medical",NA,231,"2010",1
"1053",2,"Medical",NA,7353,"1985",1
"1054",90,"Biology",NA,1331,"2005",1
"1055",NA,"Biology",1907464,12361,"1990",1
"1056",24,"Medical",NA,1038,"2005",1
"1057",16,"Medical",591839,3573,"1985",1
"1058",136,"Biology",10732,3467,"2000",1
"1059",12,"Medical",109574,327,"2005",1
"1060",21,"Medical",NA,1122,"2005",1
"1061",13,"Medical",NA,31496,"1970",1
"1062",NA,"Biology",NA,1524,"2005",1
"1063",NA,"Biology",7870655,35143,"2000",1
"1064",6,"Biology",3042026,12432,"1985",1
"1065",16,"Medical",2275738,117,"2010",1
"1066",2,"Medical",NA,163,"2010",1
"1067",16,"Medical",147287,2179,"2000",1
"1068",50,"Medical",NA,135,"2010",0
"1069",NA,"Medical",NA,415,"2010",1
"1070",13,"Medical",NA,1684,"2000",1
"1071",NA,"Medical",9562333,82028,"1965",1
"1072",8,"Medical",NA,186,"2005",0
"1073",6,"Biology",5110923,1476,"2005",1
"1074",56,"Medical",276437,657,"2005",1
"1075",NA,"Medical",NA,2231,"2005",1
"1076",NA,"Biology",3023740,131,"2010",0
"1077",2,"Medical",738893,13304,"1975",1
"1078",19,"Medical",NA,1194,"2010",0
"1079",NA,"Biology",NA,2797,"1995",1
"1080",NA,"Medical",NA,1462,"2000",1
"1081",NA,"Medical",NA,466,"2005",1
"1082",NA,"Medical",NA,326,"2010",0
"1083",23,"Biology",910773,606,"1995",1
"1084",NA,"Technology",NA,1080,"2010",1
"1085",65,"Medical",NA,9552,"1980",1
"1086",NA,"Biology",NA,738,"2010",1
"1087",NA,"Biology",3168345,7930,"1975",1
"1088",NA,"Biology",NA,11299,"1970",1
"1089",NA,"Medical",5716761,13362,"1980",1
"1090",NA,"Biology",64,339,"2005",1
"1091",NA,"Medical",165598,909,"2010",1
"1092",36,"Medical",NA,274,"2010",0
"1093",30,"Medical",84742,8284,"1980",1
"1094",95,"Biology",4705823,4382,"2000",1
"1095",NA,"Biology",1308689,472,"2005",1
"1096",NA,"Biology",NA,4856,"1995",1
"1097",NA,"Biology",NA,222,"2010",1
"1098",16,"Medical",NA,698,"2010",1
"1099",41,"Biology",NA,253,"2010",1
"1100",7,"Biology",NA,616,"2000",1
"1101",2,"Medical",NA,3980,"1990",1
"1102",89,"Technology",10405740,207,"2010",1
"1103",27,"Medical",9346303,2039,"1985",1
"1104",65,"Medical",NA,2831,"1980",0
"1105",NA,"Medical",NA,8031,"1995",1
"1106",10,"Technology",NA,329,"2005",1
"1107",NA,"Biology",7326380,2475,"1995",1
"1108",NA,"Biology",66672,451,"1985",1
"1109",13,"Medical",NA,1041,"2005",1
"1110",6,"Biology",NA,1867,"2010",1
"1111",2,"Medical",1533282,385,"2010",1
"1112",NA,"Medical",NA,256,"2010",0
"1113",23,"Biology",NA,317,"2005",0
"1114",17,"Biology",NA,5388,"1980",1
"1115",22,"Biology",NA,177,"2010",1
"1116",NA,"Medical",158760,189,"2010",1
"1117",22,"Biology",NA,13484,"2000",1
"1118",318,"Biology",NA,10256,"1990",0
"1119",NA,"Medical",485734,425,"2005",1
"1120",90,"Biology",48140533,35554,"1975",1
"1121",8,"Biology",NA,334,"2005",1
"1122",NA,"Medical",5402890,2275,"1990",1
"1123",NA,"Medical",NA,62635,"1975",1
"1124",33,"Biology",7058738,7071,"1975",1
"1125",167,"Biology",NA,19687,"1995",1
"1126",NA,"Biology",20728053,16473,"1985",1
"1127",NA,"Medical",NA,11408,"1975",1
"1128",150,"Biology",NA,623,"2000",1
"1129",39,"Biology",NA,586,"2010",1
"1130",NA,"Biology",NA,658,"2010",0
"1131",NA,"Biology",21666879,14525,"1980",1
"1132",30,"Medical",NA,7426,"1990",1
"1133",NA,"Medical",NA,933,"2000",1
"1134",NA,"Medical",NA,1688,"1995",1
"1135",3,"Medical",NA,141,"2010",1
"1136",3,"Medical",NA,1044,"2010",1
"1137",NA,"Biology",1882529,1603,"2005",1
"1138",3,"Medical",2288649,4304,"2000",1
"1139",NA,"Biology",NA,2114,"1995",1
"1140",NA,"Medical",30732464,332,"1995",0
"1141",62,"Biology",14053866,3978,"1995",0
"1142",NA,"Medical",NA,712,"2000",1
"1143",NA,"Biology",1995382,6441,"2000",1
"1144",13,"Medical",2559502,7910,"1975",1
"1145",163,"Biology",NA,266,"2010",0
"1146",56,"Medical",NA,1365,"2000",1
"1147",60,"Biology",84756704,1283,"2005",1
"1148",NA,"Medical",280783,818,"2000",1
"1149",14,"Technology",1701191,3099,"2005",1
"1150",NA,"Biology",NA,1884,"2005",1
"1151",93,"Biology",461784,5631,"1985",1
"1152",13,"Medical",NA,3981,"2000",1
"1153",43,"Medical",NA,4592,"1990",1
"1154",NA,"Medical",10792566,6942,"1975",1
"1155",NA,"Biology",1498375,3472,"2000",1
"1156",22,"Medical",8801776,1236,"2005",1
"1157",366,"Biology",NA,3305,"1965",0
"1158",NA,"Medical",551830,2659,"1980",1
"1159",23,"Biology",NA,203,"2010",1
"1160",6,"Medical",NA,214,"2010",1
"1161",NA,"Medical",549569,1206,"2010",1
"1162",2,"Medical",158540,1702,"1995",1
"1163",NA,"Biology",NA,33778,"1980",1
"1164",NA,"Biology",1885038,56189,"1975",1
"1165",38,"Technology",NA,8785,"1995",1
"1166",5,"Medical",NA,1045,"1975",1
"1167",13,"Medical",NA,1114,"1995",1
"1168",26,"Medical",NA,6326,"2000",1
"1169",NA,"Biology",3572559,704,"2005",0
"1170",NA,"Medical",485799,1235,"2000",1
"1171",61,"Technology",NA,4918,"1975",1
"1172",NA,"Biology",NA,680,"2010",0
"1173",NA,"Biology",NA,1216,"2000",1
"1174",NA,"Biology",956870,7531,"1995",1
"1175",38,"Medical",NA,5094,"1995",1
"1176",16,"Biology",635877,3928,"2000",0
"1177",NA,"Biology",NA,18101,"1985",0
"1178",5,"Medical",NA,373,"2010",1
"1179",16,"Biology",NA,1498,"2005",1
"1180",96,"Biology",NA,9943,"1995",1
"1181",73,"Biology",NA,5508,"1995",0
"1182",NA,"Biology",NA,2571,"2000",1
"1183",318,"Biology",NA,806,"1995",1
"1184",18,"Biology",NA,6547,"2000",1
"1185",16,"Medical",1206651,769,"2005",1
"1186",NA,"Biology",2124833,26057,"1990",1
"1187",NA,"Biology",NA,2500,"1975",1
"1188",NA,"Medical",NA,5133,"2000",1
"1189",NA,"Medical",NA,9454,"1980",1
"1190",NA,"Biology",NA,488,"2010",0
"1191",NA,"Technology",NA,1859,"2005",1
"1192",13,"Biology",NA,5451,"1995",1
"1193",60,"Medical",NA,571,"2010",1
"1194",NA,"Biology",NA,577,"2010",1
"1195",NA,"Biology",162889,2168,"2010",1
"1196",NA,"Medical",NA,2964,"1995",1
"1197",6,"Biology",NA,263,"2010",1
"1198",43,"Medical",NA,472,"2010",1
"1199",NA,"Medical",NA,89,"1990",1
"1200",NA,"Biology",NA,3501,"2000",1
"1201",NA,"Biology",1281245,3790,"1990",1
"1202",NA,"Medical",424055,2909,"1995",0
"1203",38,"Medical",3531128,1509,"2000",0
"1204",NA,"Medical",NA,2803,"1995",1
"1205",41,"Biology",2724988,4932,"1985",1
"1206",NA,"Biology",NA,14963,"2000",0
"1207",27,"Medical",1965546,13508,"1995",1
"1208",337,"Biology",NA,1640,"2005",1
"1209",46,"Medical",NA,209,"2010",1
"1210",1,"Medical",81779,112,"2010",1
"1211",NA,"Biology",NA,175,"2010",1
"1212",NA,"Biology",14686302,28657,"1995",1
"1213",33,"Biology",NA,978,"2005",1
"1214",2,"Medical",NA,320,"2010",1
"1215",NA,"Biology",NA,1758,"2000",1
"1216",NA,"Biology",NA,2396,"2000",1
"1217",1,"Biology",NA,216,"2010",1
"1218",13,"Medical",NA,320,"2010",1
"1219",1,"Biology",131363,967,"2010",1
"1220",33,"Biology",NA,312,"2010",1
"1221",NA,"Biology",2594353,11780,"1995",1
"1222",NA,"Biology",NA,115,"2010",0
"1223",3,"Medical",18277,240,"2010",1
"1224",NA,"Medical",61955,195,"2010",1
"1225",56,"Medical",626920,747,"2005",0
"1226",NA,"Biology",NA,489,"2005",1
"1227",13,"Medical",NA,1179,"2000",1
"1228",181,"Biology",NA,931,"2005",0
"1229",29,"Medical",2878013,118,"2010",1
"1230",30,"Medical",123075,1541,"1990",0
"1231",NA,"Medical",NA,426,"2010",1
"1232",NA,"Medical",NA,473,"2005",1
"1233",146,"Biology",1146184,55,"2010",0
"1234",218,"Biology",446728,585,"2010",1
"1235",NA,"Medical",NA,229,"2005",1
