Id,Label,timeset,dept_rank,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
523,,,30,Medical,NA,1923,2005,1,0.00013
524,,,1,Biology,NA,769,2005,1,0.000409
525,,,196,Biology,784154,5673,1995,1,0.00013
526,,,NA,Medical,NA,1105,2005,0,0.00013
527,,,NA,Biology,NA,16087,1985,1,0.000696
528,,,NA,Medical,NA,8279,1990,1,0.00013
529,,,NA,Biology,NA,889,2005,1,0.00013
530,,,40,Technology,3439488,4349,2000,1,0.00013
531,,,52,Medical,NA,1675,1990,0,0.00013
532,,,66,Biology,NA,2728,2005,1,0.00013
533,,,2,Medical,NA,235,2005,1,0.00013
534,,,NA,Biology,5934768,16059,1980,1,0.00013
535,,,NA,Medical,1307327,1349,2005,1,0.00013
536,,,NA,Biology,NA,367,2005,1,0.00013
537,,,56,Medical,868742,5072,2005,1,0.00013
538,,,3,Medical,NA,10296,1995,1,0.000666
539,,,1,Biology,22753775,39646,2000,1,0.000547
540,,,131,Biology,NA,15097,1980,1,0.000353
541,,,2,Medical,NA,10623,1990,1,0.00013
542,,,52,Medical,266853,4868,1995,1,0.00013
543,,,4,Biology,NA,2805,2000,1,0.00013
544,,,178,Biology,33072313,5929,1985,1,0.00013
545,,,4,Biology,NA,797,2010,0,0.00013
546,,,NA,Biology,NA,566,2005,1,0.00013
547,,,NA,Medical,NA,2420,2000,1,0.00013
548,,,6,Medical,NA,5883,1995,1,0.00013
549,,,139,Medical,1075886,13694,2000,1,0.000422
550,,,43,Medical,126972,2575,1980,1,0.00013
551,,,12,Medical,NA,4853,1990,1,0.00013
552,,,65,Medical,690493,296,1995,1,0.00013
553,,,6,Medical,NA,749,2005,0,0.00013
554,,,NA,Biology,NA,12674,1990,1,0.000305
555,,,9,Biology,NA,271,2005,1,0.000361
556,,,NA,Biology,266869,2960,2010,1,0.00013
557,,,43,Medical,2699956,2957,1995,1,0.00013
558,,,NA,Biology,15871677,37678,1980,1,0.000331
559,,,3,Medical,NA,2046,2005,1,0.00013
560,,,NA,Biology,470644,663,2005,1,0.00013
561,,,NA,Medical,NA,2035,2005,1,0.00013
562,,,NA,Medical,NA,859,2000,1,0.00013
563,,,62,Biology,12733271,2761,1965,1,0.00013
564,,,1,Technology,7359415,3338,2000,1,0.000426
565,,,16,Biology,8677111,16104,1960,1,0.00013
566,,,23,Biology,14981707,10712,1995,1,0.000399
567,,,78,Medical,NA,263,2005,0,0.00013
568,,,178,Biology,1118923,11791,1990,1,0.00013
569,,,52,Medical,NA,8806,1970,1,0.00013
570,,,26,Biology,1962068,4705,1990,1,0.00013
571,,,NA,Medical,NA,1714,2000,1,0.00013
572,,,NA,Medical,3366851,4518,2000,1,0.00013
573,,,50,Medical,1209464,1345,1995,1,0.00013
574,,,NA,Biology,NA,22239,1985,1,0.000409
575,,,8,Medical,1531001,4983,1995,1,0.000409
576,,,3,Biology,8453554,13722,2000,1,0.00013
577,,,24,Medical,NA,6377,2000,1,0.00013
578,,,27,Medical,NA,13658,1990,1,0.00013
579,,,46,Medical,NA,2020,2005,1,0.00013
580,,,NA,Biology,NA,2749,1980,1,0.00013
581,,,16,Medical,NA,607,2005,1,0.00013
582,,,27,Biology,NA,649,2000,1,0.00013
583,,,NA,Biology,NA,1366,2005,0,0.00013
584,,,90,Biology,9735149,4279,1995,1,0.000601
585,,,16,Medical,2326512,986,1995,1,0.00013
586,,,52,Medical,NA,5849,1995,1,0.00013
587,,,NA,Biology,NA,365,2010,1,0.00013
588,,,169,Biology,622699,1625,2010,1,0.00013
589,,,39,Biology,NA,2803,2005,1,0.00013
590,,,NA,Biology,NA,592,1985,1,0.00013
591,,,NA,Biology,NA,2374,2000,1,0.00013
592,,,NA,Medical,NA,896,2010,1,0.00013
593,,,46,Biology,NA,1206,2000,0,0.00013
594,,,NA,Biology,7254804,10053,1990,1,0.00013
595,,,13,Biology,1038545,548,2005,1,0.00013
596,,,67,Medical,NA,3589,2010,1,0.00013
597,,,22,Biology,NA,401,2005,1,0.00013
598,,,NA,Biology,NA,3326,2000,1,0.00013
599,,,NA,Biology,NA,256,1995,0,0.00013
600,,,NA,Biology,NA,976,2005,0,0.00013
601,,,NA,Biology,22917579,14486,1980,1,0.00013
602,,,NA,Medical,NA,15581,1980,1,0.00013
603,,,23,Biology,78514513,34988,1985,1,0.001152
604,,,19,Medical,NA,68403,1960,1,0.000632
605,,,23,Biology,12548611,12295,1980,1,0.00013
606,,,26,Biology,NA,57855,1970,1,0.000318
607,,,24,Technology,1027812,57232,1970,1,0.00013
608,,,NA,Biology,353401,38362,1985,1,0.000919
609,,,NA,Biology,47923832,29273,1975,1,0.000439
610,,,1,Biology,11028893,29441,1975,1,0.000318
611,,,NA,Biology,NA,105735,1980,1,0.000872
612,,,NA,Biology,NA,2690,2010,1,0.000527
613,,,376,Biology,NA,749,2005,1,0.000399
614,,,22,Biology,14793348,41315,1970,1,0.001542
615,,,13,Medical,NA,16546,1985,1,0.000325
616,,,NA,Medical,1818993,18122,1965,1,0.00013
617,,,NA,Biology,358683,132319,1970,1,0.000548
618,,,100,Medical,NA,82665,1985,1,0.000891
619,,,60,Medical,NA,54705,1990,1,0.001383
620,,,NA,Medical,15031637,115860,1985,1,0.001098
621,,,11,Biology,24489851,89577,1985,1,0.000982
622,,,52,Medical,457508,1714,2000,1,0.00013
623,,,NA,Biology,1139322,32237,1990,1,0.000426
624,,,NA,Biology,130419,8378,1985,1,0.00013
625,,,NA,Medical,6605923,32208,1965,1,0.00013
626,,,19,Medical,NA,16031,1975,1,0.00013
627,,,16,Biology,1307744,26808,1970,1,0.00013
628,,,NA,Biology,281690,41171,1970,1,0.000671
629,,,NA,Biology,NA,30108,1990,1,0.000305
630,,,NA,Biology,546068,33182,1970,1,0.000337
631,,,NA,Biology,18748226,88903,1980,1,0.019083
632,,,NA,Biology,15848223,56120,1970,1,0.00013
633,,,9,Medical,NA,1782,2000,1,0.00013
634,,,NA,Medical,NA,17778,1985,1,0.00013
635,,,NA,Biology,NA,579,2005,1,0.00013
636,,,190,Biology,NA,4849,2005,1,0.000331
637,,,13,Biology,NA,5762,1975,1,0.000919
638,,,2,Medical,8284919,20197,1970,1,0.00013
639,,,NA,Biology,NA,15139,1985,1,0.000943
640,,,NA,Medical,NA,12780,1975,1,0.00013
641,,,13,Medical,NA,29928,1980,1,0.000507
642,,,NA,Biology,NA,60163,1965,1,0.000846
643,,,NA,Medical,1054043,19304,1980,1,0.00013
644,,,NA,Biology,23779973,14668,1990,1,0.00013
645,,,1,Medical,3511326,44866,1975,1,0.00064
646,,,3,Medical,NA,5480,1980,1,0.00013
647,,,196,Biology,112082823,14833,1965,1,0.000539
648,,,2,Medical,NA,7328,1975,1,0.00013
649,,,NA,Medical,3606853,99208,1980,1,0.00013
650,,,13,Biology,37650,40634,1970,1,0.00013
651,,,30,Medical,NA,2234,1990,1,0.000482
652,,,NA,Biology,NA,8583,1975,1,0.00013
653,,,22,Biology,4076379,4950,1990,1,0.000404
654,,,49,Biology,NA,14372,1975,1,0.00013
655,,,NA,Medical,NA,14751,1980,1,0.00013
656,,,NA,Biology,4244598,2760,1990,0,0.00013
657,,,48,Medical,NA,9505,1980,1,0.00013
658,,,NA,Biology,18878881,29043,1990,1,0.000409
659,,,NA,Biology,52933324,63866,1980,1,0.00013
660,,,NA,Biology,26263117,20180,1980,1,0.00013
661,,,52,Medical,NA,2412,2005,0,0.00013
662,,,NA,Medical,NA,636,2005,0,0.00013
663,,,1,Technology,16706935,18404,1980,1,0.000409
664,,,NA,Biology,NA,2402,2000,1,0.00013
665,,,9,Medical,9509491,17448,1970,1,0.000409
666,,,NA,Biology,77150588,16266,1985,0,0.00013
667,,,93,Biology,NA,53062,1970,1,0.000611
668,,,19,Biology,836782,32168,1965,1,0.00013
669,,,48,Biology,3428620,9464,1980,0,0.00013
670,,,NA,Biology,242830,20759,1975,1,0.000305
671,,,NA,Biology,NA,45500,1965,1,0.00013
672,,,NA,Medical,1135096,3713,1980,1,0.00013
673,,,52,Medical,NA,30747,1970,1,0.00013
674,,,NA,Medical,NA,2001,1990,1,0.00013
675,,,65,Medical,NA,30195,1975,1,0.00013
676,,,NA,Biology,NA,24747,1970,1,0.00013
677,,,38,Biology,17679982,42255,1965,1,0.000696
678,,,NA,Biology,129329743,101809,1985,1,0.005391
679,,,13,Medical,5056541,2444,1990,1,0.00013
680,,,7,Biology,29942289,18066,1985,1,0.00013
681,,,NA,Medical,NA,19221,1965,1,0.00013
682,,,312,Biology,NA,3595,1990,1,0.00013
683,,,202,Medical,6052915,4832,1970,1,0.00013
684,,,30,Medical,NA,11007,1980,1,0.000409
685,,,45,Biology,44421022,17525,1985,1,0.00013
686,,,67,Medical,NA,11349,1975,1,0.00013
687,,,NA,Biology,15970482,12208,1985,1,0.00013
688,,,NA,Medical,NA,3044,1970,1,0.00013
689,,,NA,Medical,NA,22481,1980,1,0.00013
690,,,12,Medical,NA,10302,1975,1,0.00013
691,,,NA,Medical,3196957,7813,1990,1,0.000409
692,,,3,Technology,982784,5096,1995,1,0.00013
693,,,2,Medical,NA,3155,2000,1,0.000409
694,,,NA,Biology,1535315,21011,1965,1,0.00013
695,,,84,Biology,9210714,51970,1975,1,0.00013
696,,,96,Biology,NA,6609,1980,1,0.00013
697,,,13,Medical,NA,6989,1980,1,0.00013
698,,,5,Medical,NA,712,2005,0,0.00013
699,,,1,Biology,NA,690,2005,1,0.00013
700,,,39,Biology,NA,1102,2005,1,0.00013
701,,,41,Biology,2212166,14203,1985,1,0.00013
702,,,NA,Biology,NA,13472,1985,1,0.00013
703,,,NA,Medical,NA,6885,1975,1,0.00013
704,,,18,Biology,582824,3443,1990,0,0.00013
705,,,33,Biology,NA,12146,1970,1,0.00013
706,,,3,Medical,NA,8282,1985,1,0.00013
707,,,190,Biology,NA,7482,1975,1,0.00013
708,,,3,Medical,NA,52569,1975,1,0.00013
709,,,NA,Technology,628896,13303,1990,1,0.000409
710,,,NA,Biology,NA,23588,1970,1,0.00013
711,,,NA,Biology,2501887,21787,1965,1,0.00013
712,,,NA,Biology,10033,4525,2000,1,0.00013
713,,,NA,Biology,NA,11971,1980,1,0.00013
714,,,NA,Medical,NA,3310,1995,1,0.00013
715,,,NA,Medical,193801,46693,1970,1,0.00013
716,,,NA,Biology,NA,7322,1985,1,0.00013
717,,,NA,Medical,NA,14845,1990,1,0.000474
718,,,36,Medical,NA,1552,1985,1,0.00013
719,,,NA,Biology,222716,20601,1985,1,0.00013
720,,,NA,Medical,20753995,4676,1990,1,0.00013
721,,,85,Biology,818991,6739,1985,1,0.00013
722,,,NA,Medical,NA,4420,1975,1,0.00013
723,,,8,Medical,NA,61213,1975,1,0.000611
724,,,18,Biology,24439865,21025,1990,1,0.00013
725,,,76,Biology,NA,9248,1985,1,0.00013
726,,,130,Biology,30754154,2219,1980,1,0.00013
727,,,NA,Medical,NA,984,2010,1,0.00013
728,,,NA,Biology,7035982,13538,1970,1,0.00013
729,,,NA,Medical,NA,4658,1985,1,0.00013
730,,,NA,Medical,2987724,8678,1985,1,0.00013
731,,,2,Medical,2485662,3182,1995,1,0.00013
732,,,78,Medical,NA,3325,1995,1,0.00013
733,,,NA,Biology,1832094,6068,1970,1,0.00013
734,,,3,Biology,758061,6429,2000,1,0.00013
735,,,NA,Biology,NA,11373,1990,1,0.00013
736,,,65,Medical,763037,2285,1995,1,0.00013
737,,,NA,Medical,NA,4546,1975,1,0.00013
738,,,75,Medical,NA,5090,2000,1,0.000331
739,,,NA,Biology,1743236,16643,1985,1,0.00013
740,,,33,Biology,NA,16093,1980,1,0.000557
741,,,NA,Medical,NA,6977,1980,1,0.00013
742,,,1,Biology,NA,1174,1965,0,0.00013
743,,,NA,Medical,NA,2880,2000,1,0.00013
744,,,13,Medical,NA,22428,1985,1,0.00013
745,,,178,Biology,NA,2999,1995,1,0.00013
746,,,50,Medical,1673478,4626,2000,1,0.00013
747,,,13,Biology,NA,6475,1975,1,0.00013
748,,,NA,Biology,NA,3368,1995,1,0.00013
749,,,NA,Technology,NA,2950,1985,1,0.00013
750,,,16,Biology,NA,2116,1995,1,0.00013
751,,,69,Technology,2318216,1140,1990,0,0.00013
752,,,38,Biology,NA,5785,1965,1,0.000399
753,,,9,Biology,463011,36728,1965,1,0.00013
754,,,163,Biology,NA,16763,1970,1,0.00013
755,,,NA,Biology,NA,2945,1990,1,0.00013
756,,,NA,Biology,32505728,64253,1970,1,0.00013
757,,,NA,Medical,3127442,1864,1980,0,0.00013
758,,,NA,Medical,NA,13601,1980,1,0.00013
759,,,27,Biology,10372851,15588,1980,1,0.00013
760,,,98,Biology,1566234,9196,1985,0,0.00013
761,,,39,Biology,226595,6591,1995,1,0.00013
762,,,NA,Medical,60379,1373,2010,0,0.00013
763,,,26,Biology,153209,2226,2005,0,0.00013
764,,,NA,Biology,2709433,4886,2000,1,0.00013
765,,,3,Biology,18561435,35245,1975,1,0.00013
766,,,75,Biology,NA,1273,2000,1,0.00013
767,,,30,Medical,NA,6631,1985,1,0.00013
768,,,76,Biology,NA,4535,1990,1,0.00013
769,,,55,Technology,NA,585,2005,1,0.00013
770,,,NA,Biology,NA,572,2010,1,0.00013
771,,,312,Biology,NA,315,2005,0,0.00013
772,,,3,Medical,NA,1061,2005,1,0.00013
773,,,8,Medical,100973,1467,2010,1,0.000409
774,,,10,Technology,NA,487,2005,1,0.00013
775,,,148,Biology,1090687,1022,2010,1,0.00013
776,,,NA,Biology,NA,523,2010,1,0.000473
777,,,27,Biology,335213,690,2005,0,0.00013
778,,,NA,Medical,945399,1479,2000,1,0.00013
779,,,136,Biology,NA,650,2010,1,0.00013
780,,,8,Biology,NA,596,2005,1,0.00013
781,,,NA,Medical,934346,1089,2010,1,0.000611
782,,,13,Medical,NA,876,2005,1,0.00013
783,,,90,Biology,NA,298,2010,1,0.00013
784,,,65,Medical,NA,920,2010,1,0.00013
785,,,NA,Medical,NA,1639,2010,1,0.00013
786,,,73,Biology,8798651,2845,1995,1,0.00013
787,,,NA,Technology,NA,2072,2005,1,0.00013
788,,,3,Technology,2740247,2571,2010,1,0.00013
789,,,1,Biology,NA,277,2010,1,0.00013
790,,,67,Biology,NA,254,2010,1,0.00013
791,,,3,Medical,NA,748,2010,1,0.00013
792,,,62,Biology,NA,248,2000,1,0.00013
793,,,57,Biology,NA,4379,1975,1,0.00013
794,,,NA,Biology,NA,19872,1965,1,0.00013
795,,,NA,Biology,24502297,9013,1990,1,0.00013
796,,,NA,Medical,NA,1011,2005,1,0.00013
797,,,NA,Technology,NA,394,2010,1,0.00013
798,,,NA,Biology,NA,1428,2005,1,0.00013
799,,,NA,Biology,2306279,1419,2010,1,0.00013
800,,,52,Medical,NA,375,2000,1,0.00013
801,,,169,Biology,NA,6161,1985,1,0.000325
802,,,26,Biology,8057683,79197,1980,1,0.000666
803,,,16,Biology,NA,520,2005,1,0.00013
804,,,49,Biology,NA,2235,1980,1,0.00013
805,,,NA,Biology,1185109,9914,2000,1,0.005365
806,,,NA,Biology,NA,791,2005,0,0.00013
807,,,NA,Medical,NA,370,2010,1,0.000438
808,,,13,Biology,399032,2204,2000,1,0.00013
809,,,NA,Medical,NA,726,2005,1,0.00013
810,,,NA,Medical,NA,41850,1960,1,0.00013
811,,,99,Biology,NA,28225,1965,1,0.00013
812,,,NA,Biology,2063308,52774,1970,1,0.00013
813,,,123,Biology,17384977,14661,1990,1,0.00013
814,,,19,Medical,31500000,46865,1985,1,0.000864
815,,,NA,Medical,NA,118353,1980,1,0.000318
816,,,NA,Medical,NA,11582,1970,1,0.00013
817,,,NA,Biology,6737288,22198,1985,1,0.00013
818,,,45,Technology,11900154,14421,1975,1,0.00013
819,,,6,Biology,40626914,108013,1980,1,0.00013
820,,,67,Biology,NA,42423,1965,1,0.00013
821,,,NA,Medical,13890601,31571,1980,1,0.00013
822,,,NA,Biology,NA,24473,1970,1,0.00013
823,,,196,Biology,NA,93186,1975,1,0.00132
824,,,NA,Medical,NA,19332,1995,1,0.00013
825,,,190,Biology,NA,704,2010,1,0.00013
826,,,12,Medical,3367196,2541,1990,1,0.00013
827,,,NA,Biology,67194689,27511,1975,1,0.000733
828,,,16,Biology,NA,3375,2000,1,0.00013
829,,,65,Biology,NA,493,2000,1,0.00013
830,,,NA,Biology,36171435,67635,1985,1,0.000864
831,,,141,Technology,680754,790,1995,1,0.00013
832,,,57,Biology,11227169,4493,1995,0,0.002592
833,,,NA,Medical,NA,16461,1980,1,0.00013
834,,,NA,Medical,4806294,47075,1985,1,0.000318
835,,,131,Biology,4837120,18788,1990,0,0.00013
836,,,333,Biology,31375264,4891,1970,1,0.00013
837,,,NA,Medical,792310,621,2010,1,0.00013
838,,,84,Medical,NA,925,2010,0,0.00013
839,,,NA,Medical,802566,3447,1995,1,0.00013
840,,,NA,Biology,NA,13639,1975,1,0.00013
841,,,169,Biology,NA,530,2005,0,0.00013
842,,,10,Biology,13779798,271,2005,0,0.00013
843,,,76,Biology,NA,487,1995,0,0.00013
844,,,NA,Biology,NA,1865,2000,1,0.00013
845,,,33,Biology,74708,4693,1980,1,0.00013
846,,,NA,Medical,NA,264,2010,1,0.00013
847,,,19,Medical,9626158,583,2010,0,0.00013
848,,,8,Medical,NA,592,2010,1,0.000409
849,,,65,Medical,NA,382,2010,1,0.00013
850,,,24,Medical,NA,7924,1985,1,0.000372
851,,,26,Biology,18006,661,2010,0,0.00013
852,,,13,Biology,NA,1031,2010,1,0.000414
853,,,52,Medical,NA,365,2010,1,0.00013
854,,,NA,Biology,NA,1331,2010,1,0.00013
855,,,NA,Biology,NA,371,2010,1,0.00013
856,,,NA,Medical,NA,1000,2010,1,0.00013
857,,,9,Biology,NA,1431,2010,1,0.00013
858,,,26,Biology,13384721,1740,1990,1,0.00013
859,,,13,Medical,NA,1510,2010,1,0.00013
860,,,NA,Medical,NA,926,2005,1,0.00013
861,,,NA,Biology,NA,1279,2010,1,0.00013
862,,,136,Biology,578232,718,2010,1,0.00013
863,,,23,Biology,NA,1602,2010,1,0.00013
864,,,40,Biology,NA,646,2010,1,0.00013
865,,,NA,Biology,NA,509,2010,1,0.00013
866,,,5,Medical,NA,3558,2010,1,0.000414
867,,,13,Biology,NA,794,2010,1,0.00013
868,,,13,Medical,NA,497,2010,1,0.00013
869,,,NA,Medical,NA,612,2010,1,0.000331
870,,,1,Medical,NA,612,2005,1,0.00013
871,,,30,Medical,NA,659,2010,1,0.00013
872,,,1,Biology,NA,903,2005,1,0.00013
873,,,3,Biology,639973,1197,2005,0,0.00013
874,,,90,Medical,NA,449,2010,1,0.00013
875,,,337,Biology,45978133,616,2005,1,0.004435
876,,,NA,Medical,NA,1162,2010,1,0.00013
877,,,NA,Biology,1348357,1453,2010,1,0.00013
878,,,16,Biology,NA,1957,1990,1,0.00013
879,,,NA,Biology,NA,1057,2010,1,0.00013
880,,,13,Biology,4444131,261,2010,1,0.00013
881,,,9,Biology,NA,304,2000,0,0.00013
882,,,NA,Medical,NA,415,2005,1,0.000507
883,,,273,Biology,NA,174,2010,1,0.00013
884,,,38,Biology,NA,300,2010,1,0.000409
885,,,NA,Medical,NA,94,2010,0,0.00013
886,,,98,Biology,NA,1481,2000,1,0.000507
887,,,NA,Biology,NA,770,2000,1,0.00013
888,,,84,Medical,NA,686,2010,1,0.00013
889,,,23,Biology,NA,841,2010,0,0.00013
890,,,NA,Medical,NA,676,2010,0,0.00013
891,,,43,Medical,177260,598,2005,0,0.00013
892,,,NA,Biology,1655349,4049,1995,1,0.00013
893,,,2,Medical,1297061,1331,2005,1,0.000458
894,,,6,Biology,NA,578,2010,1,0.00013
895,,,8,Medical,NA,437,2005,1,0.00013
896,,,169,Biology,222484,1394,2000,1,0.00013
897,,,NA,Biology,330523,2830,2000,1,0.00013
898,,,36,Medical,NA,159,2010,1,0.00013
899,,,NA,Medical,6249600,1393,2000,1,0.00013
900,,,99,Biology,NA,1829,2000,1,0.00013
901,,,13,Biology,NA,737,2005,1,0.00013
902,,,11,Biology,NA,152,2010,0,0.00013
903,,,16,Biology,NA,5719,1995,1,0.00013
904,,,78,Medical,NA,292,2010,1,0.00013
905,,,13,Medical,NA,697,2005,1,0.00013
906,,,NA,Biology,NA,1418,2005,1,0.000331
907,,,NA,Medical,NA,8090,1995,1,0.00013
908,,,16,Medical,NA,1801,2010,1,0.00013
909,,,NA,Biology,NA,643,2010,1,0.000481
910,,,131,Biology,NA,2994,2005,1,0.00013
911,,,3,Medical,NA,720,2005,1,0.00013
912,,,2,Medical,701519,3030,1970,1,0.00013
913,,,148,Biology,12008,972,2005,1,0.00013
914,,,NA,Biology,NA,467,1990,0,0.00013
915,,,96,Biology,NA,479,2005,1,0.00013
916,,,366,Biology,182543,541,1995,0,0.00013
917,,,NA,Biology,NA,2599,2005,1,0.00013
918,,,NA,Biology,NA,419,2010,1,0.00013
919,,,9,Medical,NA,1024,2000,1,0.00013
920,,,NA,Biology,839901,2310,1990,1,0.00013
921,,,84,Biology,NA,339,2010,1,0.00013
922,,,13,Medical,NA,410,2005,1,0.00013
923,,,NA,Biology,NA,1625,2010,1,0.00013
924,,,38,Medical,NA,697,2010,1,0.00013
925,,,NA,Medical,47442,267,2010,1,0.00013
926,,,175,Biology,NA,178,2005,1,0.00013
927,,,NA,Medical,NA,272,2010,1,0.00013
928,,,13,Medical,97995,198,2010,1,0.00013
929,,,27,Technology,NA,1500,2010,1,0.00013
930,,,69,Technology,NA,729,2010,1,0.00013
931,,,NA,Biology,NA,402,2010,0,0.00013
932,,,NA,Biology,NA,346,2010,1,0.00013
933,,,NA,Biology,NA,280,2010,1,0.00013
934,,,NA,Biology,150019,662,2010,1,0.00013
935,,,48,Biology,NA,814,2000,0,0.00013
936,,,8,Medical,NA,505,2010,1,0.00013
937,,,13,Biology,2152,2107,2000,1,0.000507
938,,,63,Technology,NA,547,1995,1,0.00013
939,,,NA,Medical,NA,992,2005,1,0.00013
940,,,72,Medical,NA,1719,2010,1,0.00013
941,,,24,Medical,NA,4622,2005,1,0.000372
942,,,13,Medical,NA,288,2010,1,0.00013
943,,,78,Medical,NA,4718,1990,1,0.00013
944,,,NA,Biology,5280592,14827,1995,1,0.00013
945,,,NA,Medical,NA,316,2010,1,0.000399
946,,,3,Biology,NA,1334,2010,1,0.00013
947,,,23,Medical,411297,1484,2000,1,0.00013
948,,,NA,Biology,NA,783,2010,0,0.00013
949,,,NA,Biology,NA,451,2010,1,0.00013
950,,,43,Medical,NA,10116,1995,1,0.000325
951,,,NA,Biology,NA,763,2005,1,0.00013
952,,,36,Biology,NA,186,2010,0,0.00013
953,,,NA,Medical,NA,1699,2010,1,0.00013
954,,,NA,Biology,NA,725,2010,0,0.000409
955,,,13,Biology,NA,603,2010,1,0.00013
956,,,NA,Biology,NA,1188,2010,1,0.00013
957,,,NA,Medical,NA,414,2005,0,0.00013
958,,,NA,Biology,NA,1183,2000,1,0.00013
959,,,16,Biology,NA,2342,2000,1,0.00013
960,,,3,Medical,2497696,994,2005,1,0.00013
961,,,11,Biology,NA,1292,2010,1,0.00013
962,,,NA,Technology,NA,1044,2010,1,0.00013
963,,,24,Biology,NA,470,2010,1,0.000446
964,,,98,Biology,10732,240,2010,1,0.00013
965,,,38,Medical,NA,522,2005,1,0.00013
966,,,NA,Biology,NA,656,2005,1,0.00013
967,,,19,Medical,4929331,1404,2000,0,0.00013
968,,,57,Biology,NA,1248,1995,1,0.00013
969,,,27,Medical,NA,1253,2005,1,0.000353
970,,,19,Medical,3767450,295,2010,1,0.00013
971,,,NA,Biology,NA,1173,2010,0,0.00013
972,,,8,Biology,NA,363,2010,1,0.00013
973,,,NA,Biology,NA,779,2010,1,0.00013
974,,,NA,Biology,NA,504,2010,0,0.00013
975,,,23,Medical,NA,587,2010,1,0.00013
976,,,159,Biology,NA,779,2005,1,0.00013
977,,,NA,Biology,NA,273,2010,1,0.00013
978,,,3,Medical,NA,372,2010,1,0.00013
979,,,NA,Medical,1181891,264,2010,0,0.00013
980,,,106,Biology,NA,667,2010,1,0.00013
981,,,NA,Biology,NA,798,2010,0,0.00013
982,,,57,Biology,NA,701,2010,1,0.000399
983,,,142,Biology,NA,181,2010,1,0.00013
984,,,36,Biology,679247,961,2010,1,0.00013
985,,,NA,Biology,NA,640,2005,1,0.00013
986,,,62,Biology,NA,4805,1995,1,0.00013
987,,,NA,Biology,NA,540,2010,1,0.000325
988,,,73,Biology,NA,1134,2005,1,0.00013
989,,,11,Biology,35097,3158,2000,1,0.00013
990,,,1,Biology,NA,663,2010,1,0.00013
991,,,NA,Medical,NA,426,2010,0,0.00013
992,,,190,Biology,NA,8255,1980,1,0.00013
993,,,NA,Biology,NA,6773,1975,1,0.00013
994,,,12,Medical,NA,7303,1985,1,0.000409
995,,,17,Biology,816868,3856,2000,1,0.00013
996,,,NA,Medical,NA,366,2010,1,0.00013
997,,,16,Medical,NA,187,2010,1,0.00013
998,,,NA,Biology,73404,5927,1995,1,0.000299
999,,,45,Biology,NA,1112,2010,1,0.00013
1000,,,16,Medical,NA,1702,2000,1,0.00013
1001,,,10,Technology,NA,65,2005,1,0.00013
1002,,,NA,Biology,1286907,2618,2000,1,0.00013
1003,,,12,Medical,NA,3380,1995,1,0.00013
1004,,,26,Medical,NA,783,2010,1,0.00013
1005,,,NA,Medical,NA,895,2010,1,0.000599
1006,,,NA,Medical,NA,5101,1995,1,0.000409
1007,,,26,Biology,1344621,3895,1990,0,0.00013
1008,,,22,Biology,9294320,4741,1990,1,0.00013
1009,,,50,Medical,NA,964,2000,1,0.00013
1010,,,1,Biology,NA,458,2010,1,0.00013
1011,,,2,Medical,NA,227,2010,1,0.00013
1012,,,7,Biology,NA,571,2000,1,0.00013
1013,,,NA,Biology,2422068,6486,1995,1,0.00013
1014,,,8,Biology,NA,479,2010,1,0.00013
1015,,,38,Medical,NA,220,2010,1,0.00013
1016,,,NA,Technology,NA,454,2010,1,0.00013
1017,,,NA,Biology,5640,17449,1970,0,0.00013
1018,,,NA,Biology,NA,1066,2005,1,0.00013
1019,,,NA,Technology,NA,211,2010,1,0.00013
1020,,,13,Biology,717745,853,2010,0,0.00013
1021,,,123,Biology,9062368,8291,1985,1,0.00013
1022,,,7,Biology,NA,509,2010,1,0.000458
1023,,,19,Medical,NA,1147,2010,0,0.00013
1024,,,2,Medical,NA,638,2010,1,0.00013
1025,,,65,Medical,NA,490,2010,1,0.00013
1026,,,73,Biology,NA,12556,1980,1,0.000482
1027,,,NA,Biology,NA,959,2010,1,0.00013
1028,,,NA,Biology,NA,551,2010,1,0.00013
1029,,,NA,Biology,5363700,2149,1990,1,0.00013
1030,,,27,Medical,NA,340,1980,1,0.00013
1031,,,NA,Medical,NA,606,2010,1,0.00013
1032,,,NA,Biology,NA,227,2010,0,0.00013
1033,,,NA,Biology,NA,6131,1985,1,0.00013
1034,,,1,Medical,NA,995,2010,1,0.00013
1035,,,9,Biology,176243,1641,2010,1,0.00013
1036,,,NA,Medical,NA,259,2005,0,0.00013
1037,,,26,Biology,NA,277,2010,0,0.00013
1038,,,9,Technology,9362904,2940,2005,1,0.00013
1039,,,96,Biology,65167021,381,2005,1,0.00013
1040,,,13,Medical,NA,962,2005,0,0.00013
1041,,,112,Biology,8138874,7659,1990,1,0.000441
1042,,,NA,Biology,NA,544,2010,1,0.00013
1043,,,7,Biology,NA,4626,1990,1,0.00013
1044,,,26,Biology,NA,610,2010,1,0.00013
1045,,,NA,Biology,NA,998,2000,1,0.000671
1046,,,23,Medical,766797,11938,1975,1,0.000696
1047,,,16,Biology,NA,157,2005,1,0.00013
1048,,,36,Medical,NA,793,2010,1,0.00013
1049,,,NA,Biology,40605016,9708,1985,1,0.00013
1050,,,78,Medical,NA,360,2010,1,0.00013
