Id,Label,timeset,dept_rank,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
120,,,NA,Biology,NA,916,2005,0,0.00013
121,,,38,Medical,NA,1080,2005,1,0.00013
122,,,21,Medical,NA,10109,2005,1,0.00013
123,,,NA,Medical,NA,13936,1990,1,0.00013
124,,,57,Biology,NA,3521,2005,1,0.000399
125,,,38,Biology,NA,3751,2005,0,0.00013
126,,,NA,Biology,NA,1388,2005,1,0.00013
127,,,38,Medical,NA,1970,2005,1,0.00013
128,,,67,Medical,NA,2968,1995,1,0.00013
129,,,47,Biology,NA,609,2005,1,0.00013
130,,,273,Biology,NA,1180,1995,1,0.00013
131,,,8,Biology,NA,2042,1995,1,0.00013
132,,,NA,Biology,3815645,867,2005,1,0.00013
133,,,1,Medical,NA,986,2005,1,0.00013
134,,,2,Medical,212343,4383,2000,1,0.00013
135,,,NA,Biology,NA,745,2005,0,0.00013
136,,,178,Biology,NA,626,2005,0,0.00013
137,,,57,Biology,NA,4945,2000,1,0.000676
138,,,9,Biology,NA,859,2000,1,0.000409
139,,,NA,Medical,47677831,67499,1990,1,0.00013
140,,,NA,Biology,NA,17255,2005,1,0.00013
141,,,24,Medical,NA,1258,2005,1,0.00013
142,,,98,Biology,NA,3929,2005,1,0.00013
143,,,NA,Medical,596348,8789,2000,1,0.000507
144,,,NA,Biology,NA,863,2005,1,0.00013
145,,,NA,Biology,NA,362,2005,0,0.000668
146,,,NA,Biology,NA,2981,2005,1,0.00013
147,,,41,Biology,NA,2796,2005,1,0.00013
148,,,12,Biology,NA,4275,1990,1,0.00013
149,,,NA,Biology,NA,943,2005,1,0.00013
150,,,8,Medical,NA,515,2005,1,0.00013
151,,,22,Biology,NA,409,2000,1,0.00013
152,,,9,Biology,NA,1343,1995,1,0.00013
153,,,169,Biology,6547752,8344,1985,1,0.00013
154,,,163,Biology,5986508,4095,1990,1,0.00013
155,,,16,Medical,NA,1726,2000,1,0.00013
156,,,NA,Biology,NA,530,2005,1,0.00013
157,,,175,Biology,NA,1669,2000,0,0.00013
158,,,17,Technology,NA,1698,2005,1,0.00013
159,,,13,Biology,4357828,3803,2005,1,0.00013
160,,,196,Biology,NA,1309,2005,0,0.00013
161,,,NA,Medical,NA,771,2000,1,0.00013
162,,,6,Biology,NA,1273,2000,1,0.00013
163,,,33,Biology,NA,1789,2005,1,0.00081
164,,,NA,Biology,NA,1247,2000,1,0.00013
165,,,16,Medical,NA,1158,2000,1,0.000414
166,,,NA,Biology,NA,1429,2000,1,0.00013
167,,,6,Medical,NA,2081,2005,1,0.00013
168,,,13,Medical,NA,1023,2000,1,0.00013
169,,,NA,Biology,NA,1889,2000,1,0.00013
170,,,38,Medical,NA,1380,2000,1,0.00013
171,,,NA,Biology,NA,3357,2000,1,0.001658
172,,,NA,Biology,NA,1728,2000,0,0.00013
173,,,24,Biology,NA,7386,2005,1,0.00013
174,,,NA,Biology,NA,3565,2005,1,0.00013
175,,,13,Medical,1995178,2111,2005,1,0.00013
176,,,39,Biology,615256,1696,2005,1,0.00013
177,,,NA,Medical,NA,1922,1995,1,0.00013
178,,,93,Biology,NA,8895,2005,1,0.00013
179,,,1,Technology,1127554,2701,1995,1,0.000409
180,,,39,Biology,NA,480,2005,0,0.00013
181,,,NA,Biology,1023983,2886,1970,0,0.00013
182,,,62,Biology,6021942,3575,2000,1,0.00013
183,,,57,Biology,NA,3189,2005,1,0.00013
184,,,NA,Biology,NA,1172,2005,0,0.00013
185,,,NA,Medical,NA,240,2005,1,0.00013
186,,,111,Biology,NA,526,2005,1,0.00013
187,,,26,Biology,1319337,1515,2005,1,0.00013
188,,,3,Medical,460046,1148,2005,1,0.00013
189,,,43,Technology,NA,342,2005,1,0.00013
190,,,122,Biology,NA,168,2010,0,0.000473
191,,,NA,Medical,NA,5316,2000,1,0.00013
192,,,26,Biology,NA,1063,2005,1,0.000446
193,,,2,Medical,345321,1518,2005,1,0.000438
194,,,26,Biology,NA,1120,2005,1,0.00013
195,,,23,Biology,NA,1421,2005,1,0.00013
196,,,121,Biology,NA,802,2005,1,0.00013
197,,,NA,Medical,NA,1596,2000,1,0.00013
198,,,NA,Medical,2264002,967,2005,1,0.00013
199,,,NA,Medical,NA,1375,2005,0,0.00013
200,,,NA,Medical,NA,352,2005,1,0.00013
201,,,48,Medical,NA,965,2005,1,0.00013
202,,,78,Medical,NA,4068,1990,0,0.00013
203,,,NA,Medical,2225360,5840,1995,1,0.00013
204,,,NA,Biology,NA,2993,1985,1,0.003088
205,,,NA,Medical,NA,6148,1980,1,0.00013
206,,,26,Biology,2268992,1501,2000,1,0.00013
207,,,33,Biology,6438830,420,2005,1,0.00013
208,,,NA,Biology,NA,1013,2000,1,0.00013
209,,,12,Medical,NA,438,2005,1,0.00013
210,,,73,Biology,NA,3849,2005,1,0.00013
211,,,108,Medical,NA,779,2005,1,0.00013
212,,,13,Medical,2355780,3415,1990,1,0.00013
213,,,1,Biology,NA,8542,1980,1,0.00013
214,,,22,Biology,NA,1502,2005,1,0.00013
215,,,6,Biology,1203721,519,2005,0,0.00013
216,,,16,Biology,NA,846,2005,1,0.00013
217,,,NA,Medical,NA,624,1995,1,0.00013
218,,,NA,Medical,NA,1289,2000,1,0.00013
219,,,10,Technology,NA,1061,2005,1,0.00013
220,,,65,Medical,NA,605,2005,1,0.00013
221,,,NA,Biology,748605,3747,2005,1,0.00013
222,,,3,Technology,NA,1101,2005,1,0.00013
223,,,13,Biology,98164,3293,2000,1,0.00013
224,,,69,Technology,NA,524,2005,1,0.000458
225,,,27,Technology,25979317,10545,1985,1,0.000474
226,,,NA,Medical,NA,2816,2000,1,0.000458
227,,,NA,Medical,NA,4495,2000,1,0.00013
228,,,NA,Biology,25624,364,2005,1,0.00013
229,,,57,Biology,NA,869,2005,1,0.000325
230,,,NA,Biology,NA,888,2005,1,0.00013
231,,,NA,Biology,NA,2010,2005,1,0.000409
232,,,22,Biology,NA,834,2000,1,0.00013
233,,,52,Medical,NA,5416,2000,1,0.00013
234,,,218,Biology,NA,1319,2000,1,0.00013
235,,,43,Medical,NA,176,1995,1,0.00013
