"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"169","Biology",NA,604,"2005",1
"170","Medical",NA,1477,"2005",1
"171","Medical",NA,324,"2005",1
"172","Biology",NA,5724,"2005",1
"173","Biology",NA,1770,"2005",0
"174","Medical",NA,18331,"1975",1
"175","Medical",NA,1894,"2005",1
"176","Medical",NA,1074,"2005",1
"177","Biology",NA,2706,"2005",1
"178","Medical",NA,2032,"2000",1
"179","Biology",NA,1098,"2000",0
"180","Biology",1510589,1831,"2005",1
"181","Medical",NA,981,"2005",1
"182","Biology",NA,5839,"2000",1
"183","Biology",NA,2779,"2005",1
"184","Biology",NA,748,"2005",1
"185","Biology",NA,1466,"2005",1
"186","Biology",NA,1663,"2000",1
"187","Biology",NA,1738,"2000",1
"188","Medical",NA,3123,"2005",1
"189","Biology",NA,282,"2005",0
"190","Biology",NA,14045,"1980",1
"191","Biology",NA,21021,"1975",1
"192","Biology",NA,2988,"2000",1
"193","Medical",46055,29770,"1980",1
"194","Medical",NA,562,"2005",1
"195","Biology",NA,4585,"2000",1
"196","Biology",NA,2215,"1965",0
"197","Biology",NA,856,"2000",1
"198","Medical",NA,551,"2000",1
"199","Medical",NA,1214,"2005",1
"200","Biology",NA,7057,"1995",1
"201","Biology",NA,1441,"2005",1
"202","Biology",NA,383,"2005",0
"203","Medical",1833693,1172,"2000",1
"204","Biology",NA,2075,"1990",0
"205","Biology",14189247,43787,"1990",1
"206","Medical",NA,359,"2005",1
"207","Medical",NA,1923,"2005",1
"208","Medical",NA,5592,"1995",1
"209","Biology",91476,5041,"2000",1
"210","Biology",NA,4198,"2005",1
"211","Biology",NA,8418,"1980",1
"212","Biology",NA,2222,"1995",1
"213","Biology",17549209,10876,"1980",1
"214","Medical",3924401,16696,"1975",1
"215","Medical",NA,1350,"2005",1
"216","Biology",NA,1296,"2000",1
"217","Biology",NA,665,"2005",1
"218","Medical",NA,4230,"2005",1
"219","Biology",NA,873,"2005",0
"220","Biology",NA,1454,"2005",1
"221","Medical",NA,3740,"1995",1
"222","Biology",NA,2033,"1975",1
"223","Biology",NA,3231,"2000",1
"224","Biology",NA,3055,"2005",1
"225","Medical",17415976,2492,"1990",1
"226","Biology",NA,2569,"2000",0
"227","Biology",NA,2402,"1975",0
"228","Biology",NA,1979,"2005",1
"229","Medical",58662105,12936,"1975",1
"230","Biology",NA,806,"2005",1
"231","Biology",NA,800,"2005",0
"232","Biology",NA,357,"2005",1
"233","Biology",NA,903,"2005",1
"234","Biology",NA,9165,"2005",1
"235","Biology",NA,329,"2005",1
"236","Biology",NA,8878,"2005",1
"237","Biology",NA,713,"2005",1
"238","Medical",NA,2212,"2005",1
"239","Biology",NA,2709,"1990",1
"240","Biology",NA,650,"2005",1
"241","Medical",4864816,27037,"1980",1
"242","Medical",NA,817,"2005",1
"243","Medical",NA,264,"2005",1
"244","Biology",NA,693,"2005",1
"245","Biology",NA,7709,"2000",1
"246","Biology",NA,482,"2005",0
"247","Medical",NA,2396,"2000",1
"248","Biology",NA,2391,"1990",1
"249","Biology",NA,2367,"2005",0
"250","Biology",NA,887,"2005",0
"251","Biology",NA,951,"2000",0
"252","Biology",2425485,8180,"2000",1
"253","Medical",NA,231,"2005",1
"254","Medical",NA,512,"2005",1
"255","Biology",NA,96,"2000",0
"256","Medical",NA,6031,"2005",1
"257","Biology",NA,423,"2000",1
"258","Biology",NA,729,"2000",1
"259","Medical",NA,910,"2005",1
"260","Biology",NA,3294,"1995",1
"261","Biology",NA,6751,"2000",1
"262","Biology",22618314,1358,"2005",1
"263","Medical",NA,2672,"2005",1
"264","Biology",NA,610,"2005",1
"265","Medical",NA,3179,"2005",1
"266","Biology",NA,837,"2005",1
"267","Biology",NA,2758,"2000",1
"268","Technology",NA,6763,"2000",1
"269","Technology",NA,1913,"1995",1
"270","Biology",434084,680,"2005",1
"271","Medical",NA,1222,"2000",1
"272","Biology",1876915,2616,"2005",1
"273","Biology",NA,3306,"2005",1
"274","Medical",NA,1163,"2005",1
"275","Medical",NA,6899,"1995",1
"276","Medical",NA,3649,"2000",1
"277","Biology",NA,4277,"2005",1
"278","Biology",NA,1454,"1995",1
"279","Medical",NA,1642,"2005",1
"280","Medical",NA,686,"2005",1
"281","Medical",NA,390,"2005",1
"282","Biology",308520,1155,"2005",1
"283","Biology",NA,1030,"2000",1
"284","Biology",NA,5857,"2005",1
"285","Biology",NA,11192,"1995",1
"286","Biology",NA,8623,"2000",1
"287","Medical",1167224,670,"2005",0
"288","Medical",NA,746,"2005",1
"289","Medical",NA,1336,"2005",1
"290","Biology",NA,3089,"2005",1
"291","Biology",NA,1371,"2005",1
"292","Biology",NA,1849,"2005",1
"293","Biology",3171499,793,"2000",0
"294","Biology",NA,2665,"2005",0
"295","Biology",NA,591,"2005",0
"296","Biology",788528,2004,"2000",0
"297","Biology",NA,483,"2005",1
"298","Biology",NA,3216,"2005",0
"299","Biology",NA,1548,"2000",1
"300","Biology",NA,5867,"2005",1
"301","Biology",NA,1489,"2005",0
"302","Biology",NA,2579,"2000",1
"303","Biology",NA,31825,"2005",1
"304","Biology",NA,352,"2000",1
"305","Biology",NA,1927,"2005",1
"306","Biology",NA,4613,"2005",1
"307","Biology",1650638,514,"2005",1
"308","Biology",NA,829,"2005",0
"309","Medical",NA,581,"2005",1
"310","Biology",NA,718,"2005",0
"311","Biology",NA,470,"2005",1
"312","Technology",NA,987,"2005",1
"313","Biology",NA,410,"2005",0
"314","Biology",NA,901,"2005",1
"315","Biology",NA,1828,"2005",1
"316","Medical",NA,1466,"2005",1
"317","Biology",NA,1582,"2000",1
"318","Biology",NA,1419,"2005",1
"319","Biology",NA,28848,"2000",1
"320","Biology",NA,678,"2005",1
"321","Biology",NA,12393,"1985",1
"322","Biology",2946920,18798,"1990",0
"323","Biology",NA,914,"2005",1
"324","Biology",NA,883,"2005",1
"325","Biology",NA,1822,"2005",1
"326","Biology",NA,2557,"2005",1
"327","Biology",NA,1713,"2000",1
"328","Biology",NA,3758,"2005",1
"329","Biology",NA,935,"2000",1
"330","Medical",NA,1249,"2005",1
"331","Biology",3528173,90575,"1975",1
"332","Biology",NA,738,"2005",1
"333","Medical",NA,2387,"1990",1
"334","Biology",NA,2874,"2005",0
"335","Biology",NA,1009,"2005",0
"336","Biology",NA,1551,"2005",1
"337","Medical",NA,867,"2005",1
"338","Medical",43062387,8875,"2005",1
"339","Biology",319451,1095,"2005",1
"340","Medical",NA,2873,"1995",1
"341","Biology",NA,4706,"1990",1
"342","Medical",NA,1451,"2005",1
"343","Medical",NA,9972,"2005",1
"344","Biology",NA,627,"2005",1
"345","Biology",NA,1260,"2005",0
"346","Medical",NA,1347,"2005",1
"347","Biology",NA,2669,"2005",1
"348","Medical",NA,2290,"2005",1
"349","Biology",NA,1595,"2005",0
"350","Biology",14296069,27444,"1970",1
"351","Medical",2138700,13412,"1975",1
"352","Biology",NA,972,"2005",1
"353","Medical",NA,1895,"1980",1
"354","Biology",40111878,45806,"1975",1
"355","Medical",NA,388,"2005",1
"356","Biology",NA,1248,"2005",1
"357","Biology",NA,165,"2010",0
"358","Medical",72403216,1720,"1995",1
"359","Biology",NA,1375,"2005",1
"360","Biology",NA,508,"2005",1
"361","Medical",NA,8532,"1985",1
"362","Biology",894527,9221,"1995",1
"363","Biology",NA,2513,"2005",0
"364","Biology",NA,545,"2005",1
"365","Medical",NA,8377,"1985",1
"366","Medical",NA,1283,"2000",1
"367","Biology",NA,727,"2005",0
"368","Biology",NA,907,"2005",1
"369","Medical",NA,180,"1985",1
"370","Biology",NA,1297,"2000",1
"371","Biology",NA,269,"2010",1
"372","Medical",NA,1025,"2005",1
"373","Biology",NA,2039,"2005",1
"374","Biology",NA,1793,"2005",0
"375","Biology",10085746,651,"2010",0
"376","Biology",NA,1256,"2005",1
"377","Biology",NA,907,"2005",0
"378","Biology",189777,1285,"2005",1
"379","Biology",NA,1234,"2005",1
"380","Biology",NA,1505,"2005",1
"381","Medical",NA,4615,"1995",1
"382","Biology",NA,592,"2005",1
"383","Biology",NA,921,"2005",0
"384","Medical",1464302,1125,"2005",1
"385","Biology",13315425,9941,"1960",0
"386","Biology",NA,1000,"2005",1
"387","Medical",NA,714,"2005",0
"388","Biology",NA,2758,"2000",1
"389","Biology",NA,1384,"2005",1
"390","Biology",NA,607,"2005",0
"391","Biology",NA,522,"2005",0
"392","Medical",361208,2154,"2000",1
"393","Medical",NA,30216,"2000",1
"394","Medical",NA,2919,"1990",1
"395","Biology",NA,8484,"2000",1
"396","Biology",NA,2289,"1995",0
"397","Biology",140084,11841,"1990",0
"398","Biology",NA,869,"2005",1
"399","Biology",NA,2021,"2005",1
"400","Biology",NA,3910,"2005",1
"401","Biology",NA,460,"2005",1
"402","Biology",NA,3284,"2005",1
"403","Biology",12271203,26215,"1975",1
"404","Medical",NA,5065,"1985",1
"405","Biology",NA,1419,"2005",1
"406","Biology",NA,7272,"1985",1
"407","Biology",NA,754,"2005",1
"408","Biology",NA,908,"2005",1
"409","Biology",NA,10876,"1985",1
"410","Biology",NA,579,"2005",0
